year,states,states_code,id,population
2017,Arizona,AZ,04,7048876
2017,Arkansas,AR,05,3001345
2017,California,CA,06,39429293
2017,Colorado,CO,08,5609445
2017,Connecticut,CT,09,3572665
2017,Delaware,DE,10,957942
2017,Florida,FL,12,20963613
2017,Georgia,GA,13,10410330
2017,Hawaii,HI,15,1424393
2017,Idaho,ID,16,1717750
2017,Illinois,IL,17,12778828
2017,Indiana,IN,18,6658078
2017,Iowa,IA,19,3141550
2017,Kansas,KS,20,2908718
2017,Kentucky,KY,21,4452268
2017,Louisiana,LA,22,4670560
2017,Maine,ME,23,1334612
2017,Maryland,MD,24,6023868
2017,Massachusetts,MA,25,6859789
2017,Michigan,MI,26,9973114
2017,Minnesota,MN,27,5566230
2017,Mississippi,MS,28,2988510
2017,Missouri,MO,29,6106670
2017,Montana,MT,30,1052482
2017,Nebraska,NE,31,1917575
2017,Nevada,NV,32,2998039
2017,New Hampshire,NH,33,1350395
2017,New Jersey,NJ,34,8888147
2017,New Mexico,NM,35,2084193
2017,New York,NY,36,19589572
2017,North Carolina,NC,37,10268233
2017,North Dakota,ND,38,754859
2017,Ohio,OH,39,11659650
2017,Oklahoma,OK,40,3929425
2017,Oregon,OR,41,4143625
2017,Pennsylvania,PA,42,12787641
2017,Rhode Island,RI,44,1055673
2017,South Carolina,SC,45,5021268
2017,South Dakota,SD,46,872868
2017,Tennessee,TN,47,6708799
2017,Texas,TX,48,28295273
2017,Utah,UT,49,3103118
2017,Vermont,VT,50,624344
2017,Virginia,VA,51,8463587
2017,Washington,WA,53,7423362
2017,West Virginia,WV,54,1818470
2017,Wisconsin,WI,55,5790186
2017,Wyoming,WY,56,578931
2018,Alabama,AL,01,4887681
2018,Alaska,AK,02,735139
2018,Arizona,AZ,04,7158024
2018,Arkansas,AR,05,3009733
2018,California,CA,06,39461588
2018,Colorado,CO,08,5691287
2018,Connecticut,CT,09,3571520
2018,Delaware,DE,10,965479
2018,Florida,FL,12,21244317
2018,Georgia,GA,13,10511131
2018,Hawaii,HI,15,1420593
2018,Idaho,ID,16,1750536
2018,Illinois,IL,17,12723071
2018,Indiana,IN,18,6695497
2018,Iowa,IA,19,3148618
2018,Kansas,KS,20,2911359
2018,Kentucky,KY,21,4461153
2018,Louisiana,LA,22,4659690
2018,Maine,ME,23,1341582
2018,Maryland,MD,24,6035802
2018,Massachusetts,MA,25,6882635
2018,Michigan,MI,26,9984072
2018,Minnesota,MN,27,5606249
2018,Mississippi,MS,28,2981020
2018,Missouri,MO,29,6121623
2018,Montana,MT,30,1060665
2018,Nebraska,NE,31,1925614
2018,Nevada,NV,32,3056824
2018,New Hampshire,NH,33,1353465
2018,New Jersey,NJ,34,8886025
2018,New Mexico,NM,35,2092741
2018,New York,NY,36,19530351
2018,North Carolina,NC,37,10381615
2018,North Dakota,ND,38,758080
2018,Ohio,OH,39,11676341
2018,Oklahoma,OK,40,3940235
2018,Oregon,OR,41,4181886
2018,Pennsylvania,PA,42,12800922
2018,Rhode Island,RI,44,1056161
2018,South Carolina,SC,45,5084156
2018,South Dakota,SD,46,878698
2018,Tennessee,TN,47,6771631
2018,Texas,TX,48,28628666
2018,Utah,UT,49,3153550
2018,Vermont,VT,50,624358
2018,Virginia,VA,51,8501286
2018,Washington,WA,53,7523869
2018,West Virginia,WV,54,1804291
2018,Wisconsin,WI,55,5807406
2018,Wyoming,WY,56,577601
2019,Alabama,AL,01,4903185
2019,Alaska,AK,02,731545
2019,Arizona,AZ,04,7278717
2019,Arkansas,AR,05,3017804
2019,California,CA,06,39512223
2019,Colorado,CO,08,5758736
2019,Connecticut,CT,09,3565287
2019,Delaware,DE,10,973764
2019,Florida,FL,12,21477737
2019,Georgia,GA,13,10617423
2019,Hawaii,HI,15,1415872
2019,Idaho,ID,16,1787065
2019,Illinois,IL,17,12671821
2019,Indiana,IN,18,6732219
2019,Iowa,IA,19,3155070
2019,Kansas,KS,20,2913314
2019,Kentucky,KY,21,4467673
2019,Louisiana,LA,22,4648794
2019,Maine,ME,23,1344212
2019,Maryland,MD,24,6045680
2019,Massachusetts,MA,25,6892503
2019,Michigan,MI,26,9986857
2019,Minnesota,MN,27,5639632
2019,Mississippi,MS,28,2976149
2019,Missouri,MO,29,6137428
2019,Montana,MT,30,1068778
2019,Nebraska,NE,31,1934408
2019,Nevada,NV,32,3080156
2019,New Hampshire,NH,33,1359711
2019,New Jersey,NJ,34,8882190
2019,New Mexico,NM,35,2096829
2019,New York,NY,36,19453561
2019,North Carolina,NC,37,10488084
2019,North Dakota,ND,38,762062
2019,Ohio,OH,39,11689100
2019,Oklahoma,OK,40,3956971
2019,Oregon,OR,41,4217737
2019,Pennsylvania,PA,42,12801989
2019,Rhode Island,RI,44,1059361
2019,South Carolina,SC,45,5148714
2019,South Dakota,SD,46,884659
2019,Tennessee,TN,47,6829174
2019,Texas,TX,48,28995881
2019,Utah,UT,49,3205958
2019,Vermont,VT,50,623989
2019,Virginia,VA,51,8535519
2019,Washington,WA,53,7614893
2019,West Virginia,WV,54,1792147
2019,Wisconsin,WI,55,5822434
2019,Wyoming,WY,56,578759 
